timestamp = 2016-07-24 17:22:15.019079 ,xAxis = -0.708 ,yAxis = -0.688 ,zAxis = -0.044
timestamp = 2016-07-24 17:22:16.018767 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.044
timestamp = 2016-07-24 17:22:17.028625 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.052
timestamp = 2016-07-24 17:22:18.021623 ,xAxis = -0.724 ,yAxis = -0.684 ,zAxis = -0.048
timestamp = 2016-07-24 17:22:18.021880 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.052
timestamp = 2016-07-24 17:22:19.018469 ,xAxis = -0.72 ,yAxis = -0.684 ,zAxis = -0.052
timestamp = 2016-07-24 17:22:20.018604 ,xAxis = -0.716 ,yAxis = -0.7 ,zAxis = -0.036
timestamp = 2016-07-24 17:22:21.020850 ,xAxis = -0.724 ,yAxis = -0.696 ,zAxis = -0.044
timestamp = 2016-07-24 17:22:21.022290 ,xAxis = -0.72 ,yAxis = -0.692 ,zAxis = -0.052
timestamp = 2016-07-24 17:22:22.022063 ,xAxis = -0.724 ,yAxis = -0.692 ,zAxis = -0.044
timestamp = 2016-07-24 17:22:23.020145 ,xAxis = -0.72 ,yAxis = -0.692 ,zAxis = -0.056
timestamp = 2016-07-24 17:22:24.024618 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.052
timestamp = 2016-07-24 17:22:24.019546 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.068
timestamp = 2016-07-24 17:22:25.021010 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.044
timestamp = 2016-07-24 17:22:26.019819 ,xAxis = -0.72 ,yAxis = -0.684 ,zAxis = -0.052
timestamp = 2016-07-24 17:22:27.019560 ,xAxis = -0.724 ,yAxis = -0.684 ,zAxis = -0.056
timestamp = 2016-07-24 17:22:27.020293 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.04
timestamp = 2016-07-24 17:22:28.019397 ,xAxis = -0.728 ,yAxis = -0.688 ,zAxis = -0.052
timestamp = 2016-07-24 17:22:29.023310 ,xAxis = -0.716 ,yAxis = -0.692 ,zAxis = -0.04
timestamp = 2016-07-24 17:22:30.023207 ,xAxis = -0.724 ,yAxis = -0.688 ,zAxis = -0.048
timestamp = 2016-07-24 17:22:30.023393 ,xAxis = -0.72 ,yAxis = -0.692 ,zAxis = -0.056
timestamp = 2016-07-24 17:22:31.024176 ,xAxis = -0.72 ,yAxis = -0.692 ,zAxis = -0.036
timestamp = 2016-07-24 17:22:32.024318 ,xAxis = -0.72 ,yAxis = -0.688 ,zAxis = -0.048
timestamp = 2016-07-24 17:22:33.023405 ,xAxis = -0.72 ,yAxis = -0.684 ,zAxis = -0.056
